order_id,customer_id,order_date,brand,category,product_name,quantity,unit_price,total_price,is_installment
ORD00362,CUS0242,2022-01-01,Oppo,Flagship,Find N3 Flip,1,25000000,25000000,1
ORD02396,CUS0158,2022-01-01,Apple,Mid-range,iPhone 11,1,10000000,10000000,1
ORD00872,CUS0367,2022-01-01,Oppo,Flagship,Find N3 Flip,1,25000000,25000000,1
ORD00062,CUS0128,2022-01-01,Apple,Mid-range,iPhone 13,1,15000000,15000000,0
ORD00191,CUS0013,2022-01-01,Oppo,Mid-range,Reno 11,1,10000000,10000000,1
ORD01364,CUS0342,2022-01-02,Apple,Mid-range,iPhone 13,1,15000000,15000000,0
ORD01043,CUS0463,2022-01-02,Apple,Accessories,AirPods Pro 2,2,6000000,12000000,0
ORD01378,CUS0299,2022-01-02,Apple,Accessories,Sạc 20W,1,500000,500000,0
ORD01947,CUS0488,2022-01-02,Apple,Mid-range,iPhone 13,1,15000000,15000000,0
ORD00156,CUS0188,2022-01-02,Xiaomi,Mid-range,Redmi Note 13 Pro,1,7500000,7500000,0
ORD00025,CUS0021,2022-01-03,Apple,Accessories,Ốp lưng MagSafe,1,1200000,1200000,0
ORD00531,CUS0013,2022-01-03,Apple,Flagship,iPhone 15 Pro Max,1,34000000,34000000,1
ORD01840,CUS0170,2022-01-03,Xiaomi,Flagship,Xiaomi 14,1,22000000,22000000,1
ORD00558,CUS0479,2022-01-03,Apple,Accessories,Sạc 20W,1,500000,500000,0
ORD01842,CUS0175,2022-01-03,Xiaomi,Mid-range,Redmi Note 13 Pro,1,7500000,7500000,0
ORD00990,CUS0120,2022-01-04,Apple,Mid-range,iPhone 13,1,15000000,15000000,1
ORD00981,CUS0278,2022-01-04,Samsung,Mid-range,Galaxy A54,1,8500000,8500000,0
ORD00451,CUS0365,2022-01-05,Samsung,Mid-range,Galaxy M34,1,7000000,7000000,0
ORD02367,CUS0008,2022-01-05,Apple,Mid-range,iPhone 11,1,10000000,10000000,0
ORD01846,CUS0229,2022-01-06,Apple,Mid-range,iPhone 11,1,10000000,10000000,1
ORD00377,CUS0200,2022-01-07,Apple,Flagship,iPhone 15 Pro Max,1,34000000,34000000,1
ORD00079,CUS0220,2022-01-07,Apple,Mid-range,iPhone 13,1,15000000,15000000,0
ORD00161,CUS0406,2022-01-07,Samsung,Entry-level,Galaxy A05,1,3000000,3000000,0
ORD02301,CUS0306,2022-01-07,Apple,Flagship,iPhone 15 Pro Max,1,34000000,34000000,1
ORD01144,CUS0199,2022-01-07,Apple,Mid-range,iPhone 11,1,10000000,10000000,0
ORD00130,CUS0055,2022-01-07,Samsung,Accessories,Galaxy Buds 2 Pro,1,4000000,4000000,0
ORD00660,CUS0044,2022-01-08,Oppo,Accessories,Tai nghe Enco Air,1,1500000,1500000,0
ORD02122,CUS0248,2022-01-08,Apple,Mid-range,iPhone 13,1,15000000,15000000,1
ORD01910,CUS0168,2022-01-08,Xiaomi,Flagship,Xiaomi 14,2,22000000,44000000,1
ORD00075,CUS0085,2022-01-08,Xiaomi,Flagship,Xiaomi 14,1,22000000,22000000,1
ORD00910,CUS0385,2022-01-08,Xiaomi,Accessories,Sạc dự phòng 10000mAh,1,400000,400000,0
ORD02140,CUS0466,2022-01-08,Xiaomi,Mid-range,Redmi Note 13 Pro,1,7500000,7500000,0
ORD00187,CUS0368,2022-01-08,Apple,Accessories,Ốp lưng MagSafe,2,1200000,2400000,0
ORD00460,CUS0489,2022-01-08,Apple,Mid-range,iPhone 11,1,10000000,10000000,0
ORD01420,CUS0356,2022-01-09,Apple,Flagship,iPhone 14 Pro,1,25000000,25000000,1
ORD01163,CUS0252,2022-01-09,Xiaomi,Flagship,Xiaomi 14,1,22000000,22000000,1
ORD02058,CUS0485,2022-01-09,Samsung,Entry-level,Galaxy A05,1,3000000,3000000,0
ORD02172,CUS0481,2022-01-09,Oppo,Mid-range,Reno 11,1,10000000,10000000,1
ORD01255,CUS0433,2022-01-09,Samsung,Entry-level,Galaxy A05,1,3000000,3000000,1
ORD00159,CUS0328,2022-01-09,Xiaomi,Mid-range,Redmi Note 13 Pro,1,7500000,7500000,0
ORD02036,CUS0074,2022-01-09,Apple,Mid-range,iPhone 11,1,10000000,10000000,0
ORD01019,CUS0246,2022-01-10,Xiaomi,Entry-level,Redmi 12,1,3500000,3500000,1
ORD01540,CUS0131,2022-01-10,Oppo,Mid-range,Reno 11,1,10000000,10000000,1
ORD00116,CUS0497,2022-01-11,Oppo,Accessories,Tai nghe Enco Air,2,1500000,3000000,0
ORD01166,CUS0447,2022-01-11,Apple,Flagship,iPhone 15 Pro Max,1,34000000,34000000,1
ORD01750,CUS0424,2022-01-11,Samsung,Entry-level,Galaxy A05,1,3000000,3000000,0
ORD01201,CUS0314,2022-01-11,Oppo,Accessories,Tai nghe Enco Air,1,1500000,1500000,0
ORD02091,CUS0177,2022-01-11,Apple,Accessories,AirPods Pro 2,1,6000000,6000000,0
ORD01701,CUS0328,2022-01-12,Samsung,Accessories,Galaxy Watch 6,1,6500000,6500000,0
ORD02382,CUS0447,2022-01-12,Xiaomi,Flagship,Xiaomi 14,1,22000000,22000000,0
ORD02008,CUS0428,2022-01-12,Oppo,Mid-range,Reno 11,1,10000000,10000000,0
ORD00232,CUS0500,2022-01-12,Oppo,Mid-range,Reno 11,1,10000000,10000000,0
ORD02212,CUS0068,2022-01-12,Xiaomi,Entry-level,Redmi 12,1,3500000,3500000,0
ORD00280,CUS0002,2022-01-12,Xiaomi,Mid-range,Redmi Note 13 Pro,1,7500000,7500000,0
ORD02050,CUS0253,2022-01-13,Apple,Flagship,iPhone 15 Pro Max,1,34000000,34000000,1
ORD02022,CUS0221,2022-01-13,Apple,Mid-range,iPhone 11,1,10000000,10000000,0
